state	|	left	|	right	|	up	|	down
------------------ coin_idx = 7 ----------------
 21	|	0.000	|	0.000	|	0.000	|	-1.000
 22	|	-1.000	|	0.000	|	0.000	|	0.000
 23	|	0.000	|	0.000	|	-1.000	|	0.000
 24	|	-1.000	|	0.000	|	0.000	|	0.000
 25	|	-1.000	|	-1.000	|	-1.000	|	0.000
 26	|	-1.000	|	4.980	|	8.995	|	0.000
 27	|	3.978	|	7.991	|	10.000	|	5.983
 28	|	6.987	|	6.987	|	8.995	|	6.987
 29	|	7.991	|	0.000	|	7.991	|	-1.000
 30	|	0.000	|	-1.000	|	0.000	|	-1.000
 31	|	-1.000	|	0.000	|	0.000	|	0.000
 32	|	0.000	|	0.000	|	0.000	|	0.000
 33	|	0.000	|	0.000	|	0.000	|	0.000
 34	|	0.000	|	0.000	|	0.000	|	0.000
 35	|	0.000	|	4.980	|	-1.000	|	0.000
 36	|	3.978	|	5.983	|	-1.000	|	-2.000
 37	|	4.980	|	6.987	|	6.987	|	4.980
 38	|	5.983	|	5.983	|	7.991	|	5.983
 39	|	6.987	|	0.000	|	6.987	|	4.980
 40	|	0.000	|	-1.000	|	0.000	|	-1.000
 41	|	-1.000	|	-1.000	|	0.000	|	0.000
 42	|	-1.000	|	0.000	|	0.000	|	-1.000
 43	|	0.000	|	0.000	|	0.000	|	-1.000
 44	|	-1.000	|	-1.000	|	0.000	|	-1.000
 45	|	-1.000	|	-2.000	|	-1.000	|	-1.000
 46	|	-1.000	|	4.980	|	-1.000	|	-1.000
 47	|	3.978	|	5.983	|	5.983	|	3.978
 48	|	4.980	|	4.980	|	6.987	|	4.980
 49	|	5.983	|	0.000	|	5.983	|	3.978
 50	|	0.000	|	6.000	|	0.000	|	0.000
 51	|	0.000	|	0.000	|	0.000	|	0.000
 52	|	6.000	|	3.995	|	-1.000	|	0.000
 53	|	4.997	|	-1.000	|	0.000	|	2.993
 54	|	-1.000	|	-1.000	|	-1.000	|	0.000
 55	|	0.000	|	0.000	|	0.000	|	0.000
 56	|	-1.000	|	-2.999	|	-1.000	|	-2.010
 57	|	-2.000	|	4.980	|	4.980	|	2.976
 58	|	3.978	|	3.978	|	5.983	|	3.978
 59	|	4.980	|	0.000	|	4.980	|	2.976
 60	|	0.000	|	4.997	|	0.000	|	0.000
 61	|	3.995	|	3.995	|	6.000	|	3.995
 62	|	4.997	|	2.993	|	4.997	|	2.993
 63	|	3.995	|	-0.010	|	3.995	|	1.991
 64	|	0.990	|	-1.010	|	-1.000	|	0.990
 65	|	-0.010	|	-2.999	|	-1.000	|	-0.010
 66	|	-1.010	|	2.976	|	-2.000	|	0.973
 67	|	1.974	|	3.978	|	3.978	|	1.974
 68	|	2.976	|	2.976	|	4.980	|	2.976
 69	|	3.978	|	0.000	|	3.978	|	1.974
 70	|	0.000	|	-1.000	|	3.995	|	1.991
 71	|	2.993	|	2.993	|	4.997	|	2.993
 72	|	3.995	|	1.991	|	3.995	|	1.991
 73	|	2.993	|	0.990	|	2.993	|	0.990
 74	|	1.991	|	-0.010	|	-0.010	|	-0.010
 75	|	0.990	|	0.973	|	-1.010	|	-1.010
 76	|	-0.010	|	1.974	|	-0.027	|	-0.027
 77	|	0.973	|	2.976	|	2.976	|	0.973
 78	|	1.974	|	1.974	|	3.978	|	1.974
 79	|	2.976	|	0.000	|	2.976	|	0.973
 80	|	0.000	|	2.993	|	-1.000	|	-1.000
 81	|	1.991	|	1.991	|	3.995	|	1.991
 82	|	2.993	|	0.990	|	2.993	|	-1.000
 83	|	1.991	|	-0.010	|	1.991	|	-0.010
 84	|	0.990	|	-1.010	|	0.990	|	-1.000
 85	|	-0.010	|	-2.000	|	-2.010	|	-1.000
 86	|	-1.010	|	-2.000	|	0.973	|	-1.000
 87	|	-0.027	|	1.974	|	1.974	|	-0.027
 88	|	0.973	|	0.973	|	2.976	|	0.973
 89	|	1.974	|	0.000	|	1.974	|	-0.027
 90	|	0.000	|	1.991	|	-1.000	|	0.000
 91	|	-1.000	|	-1.000	|	2.993	|	0.000
 92	|	-1.000	|	-0.010	|	-0.010	|	0.000
 93	|	-1.000	|	-1.000	|	0.990	|	0.000
 94	|	-0.010	|	-1.000	|	-0.010	|	0.000
